trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-82.24726094850362,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-119.44315229507835,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-78.86984123556121,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-100.55177484816654,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-75.26610861915182,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-84.32449764277848,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-39.772940482249545,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-176.43102691136886,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-90.25199838938856,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-166.4971132321848,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-62.3191465359834,"{0: 21, 1: 6, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-47.51971389117399,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-88.36702625799418,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-125.80833802180875,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-107.68032928211086,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-131.78146798683076,"{0: 23, 1: 4, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-98.11063502506605,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-17.71967039166674,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-170.6353974486873,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-89.50291172422297,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-138.75585027540046,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",25,0,-108.45672758981456,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-78.94724795020264,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-101.21972086100895,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,-100.70137012691553,"{0: 22, 1: 0, 2: 4, 3: 4, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-93.56750680080626,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-156.21149802077724,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",20,0,-27.660917969823654,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",35,0,-147.1009397640713,"{0: 20, 1: 4, 2: 9, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-172.47175801361834,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
