trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,10,-93.08794969349414,"{0: 7, 1: 1, 2: 6, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.74751215861403,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.66603224523413,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.96167526332864,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-73.23122825112767,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-195.8125752676667,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.74359669561849,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-19.257868894835376,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-83.92917536547446,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-209.5644299073673,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.6156086531409,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-219.01088570864823,"{0: 10, 1: 3, 2: 9, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-99.04553302689979,"{0: 18, 1: 7, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.92402566096015,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.96271998295205,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,1,-167.7257398926288,"{0: 15, 1: 2, 2: 2, 3: 2, 4: 3}",1
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-160.2749961781754,"{0: 17, 1: 8, 2: 8, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-192.50727260518016,"{0: 13, 1: 6, 2: 8, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.43815415192037,"{0: 11, 1: 4, 2: 5, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,6,1.5176618247064309,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-25.91017224769457,"{0: 18, 1: 6, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.53362268744567,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.53340834483626,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-160.86555932778228,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-132.5043589217243,"{0: 17, 1: 2, 2: 10, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.2147034997906,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-188.67611260744587,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.40906104212405,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-178.9024909294245,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-123.42320750853318,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
